Sezione;Si;No;Bianche;Contestate;Nulle
1;80;348;0;0;0
2;34;160;1;0;2
3;215;362;0;0;4
4;168;229;0;0;0
5;157;241;0;0;2
6;101;222;1;0;2
7;131;296;0;0;3
8;120;282;1;0;2
9;98;182;0;0;0
10;76;200;0;0;1
11;84;325;0;0;4
12;165;250;0;0;0
13;265;373;1;0;1
14;203;332;0;0;1
15;336;549;0;0;1
16;302;448;1;0;1
17;142;211;2;0;2
18;242;309;1;0;3
19;215;247;0;0;0
20;216;304;0;0;1
21;268;354;0;0;1
22;178;325;1;0;4
23;105;260;0;0;1
24;147;426;0;0;3
25;103;243;0;0;1
26;210;336;1;0;4
27;232;327;0;0;1
28;69;263;0;0;3
29;263;331;2;0;0
30;195;531;0;0;6
31;180;407;1;0;1
32;153;380;0;0;3
33;244;340;0;1;2
34;284;366;1;0;2
35;238;362;2;0;2
36;307;396;0;0;3
37;138;247;0;0;1
38;111;198;2;0;0
39;52;173;0;0;10
40;149;237;0;0;1
41;92;241;0;0;1
42;144;336;0;0;2
43;206;340;0;0;5
44;191;260;4;0;4
45;131;246;0;0;5
46;57;133;0;0;1
47;69;209;0;0;0
48;173;257;0;0;3
49;191;204;0;0;1
50;208;457;1;0;0
51;226;345;0;0;4
52;144;255;0;0;2
53;132;272;0;0;4
54;109;258;1;0;2
55;218;326;0;0;3
56;157;228;0;0;0
57;202;388;1;0;4
58;62;212;0;0;2
59;299;358;1;0;3
60;272;339;1;0;5
61;128;479;1;0;9
62;167;387;3;0;2
63;128;272;0;0;1
64;223;399;0;0;4
65;159;336;0;0;2
66;143;271;1;0;3
67;108;202;0;0;2
68;188;261;2;0;0
69;171;235;1;0;0
70;158;400;1;0;2
71;195;372;2;0;1
72;235;384;0;0;4
73;162;295;0;0;3
74;237;447;1;0;1
75;234;461;1;0;1
76;162;433;1;0;2
77;159;427;0;0;1
78;186;247;0;0;1
79;134;446;0;0;4
80;140;381;0;0;6
81;124;317;0;0;2
82;161;303;0;0;4
83;115;212;1;0;2
84;184;232;2;0;1
85;162;238;0;0;3
86;123;464;0;0;10
87;151;413;3;0;5
88;251;472;3;0;1
89;173;287;2;0;2
90;217;465;1;0;3
91;147;242;2;0;4
92;183;418;1;0;2
93;116;305;1;0;3
94;175;379;1;0;1
95;84;224;0;0;1
96;126;233;2;0;3
97;71;221;1;0;4
98;135;306;0;0;0
99;187;264;1;0;0
100;199;392;0;0;1
101;95;298;0;0;3
102;92;337;1;0;2
103;165;316;0;0;2
104;161;286;1;0;1
105;79;286;1;0;1
106;128;239;0;0;2
107;157;340;0;0;1
108;172;256;1;0;5
109;231;452;0;0;2
110;145;386;2;0;3
111;150;456;1;0;2
112;133;354;0;0;6
113;211;357;1;0;2
114;168;298;0;0;2
115;233;232;0;0;1
116;228;366;1;0;3
117;5;7;0;0;0
118;207;415;1;0;4
119;83;288;0;0;1
120;168;401;1;0;5
121;198;378;0;0;2
122;215;446;0;0;0
123;154;322;1;0;0
124;101;337;3;0;1
125;250;543;3;0;3
126;112;466;0;0;1
127;125;400;1;0;1
128;163;345;0;0;3
129;143;331;1;0;1
130;71;175;1;0;0
131;105;297;1;0;0
132;67;263;2;0;4
133;97;342;0;0;2
134;162;393;0;0;3
135;221;424;0;0;2
136;168;401;1;0;2
137;82;316;0;0;1
138;140;351;0;0;2
139;121;401;1;0;1
140;158;328;0;0;1
141;133;279;0;0;1
142;74;174;0;0;1
143;118;379;0;0;0
144;131;364;2;0;3
145;127;246;0;0;0
146;104;254;0;0;0
147;91;372;1;0;3
148;106;287;0;0;3
149;152;386;1;0;4
150;209;364;1;0;5
151;184;249;4;0;1
152;202;225;0;0;4
153;68;197;0;0;3
154;91;220;0;0;1
155;190;382;0;0;6
156;161;458;0;0;5
157;187;280;0;0;1
158;136;417;1;0;1
159;121;351;1;0;4
160;97;233;0;0;3
161;54;191;0;0;3
162;179;331;0;0;2
163;76;235;0;0;1
164;179;387;0;0;3
165;70;223;1;0;0
166;190;283;0;0;3
167;136;428;0;0;3
168;176;385;0;0;1
169;121;280;0;0;1
170;98;405;1;0;1
171;75;259;0;0;0
172;141;414;0;0;4
173;193;454;0;0;4
174;126;406;1;0;5
175;135;380;1;0;1
176;110;347;0;0;0
177;182;342;0;0;9
178;157;458;0;0;3
179;154;417;0;0;8
180;146;434;2;0;4
181;216;521;0;0;3
182;125;403;1;0;1
183;92;215;0;0;0
184;103;269;0;0;1
185;147;467;0;0;5
186;56;210;0;0;0
187;76;356;0;0;6
188;121;361;0;0;0
189;73;225;2;0;1
190;100;356;1;0;3
191;201;430;2;0;3
192;143;298;2;0;1
193;121;346;0;0;0
194;99;341;0;0;1
195;106;247;0;0;0
196;114;281;0;0;0
197;155;346;1;0;1
198;232;463;1;0;3
199;202;494;1;0;2
200;209;536;1;0;3
